d band center is: -2.51040355551501 eV
energy      spin1_O                   spin2_O                   spin1_Cu                   spin2_Cu
-8.487     0.004110404               0.004107342               0.000092310               0.000092310               
-8.477     0.051688236               0.051651718               0.001166720               0.001166720               
-8.467     0.252782580               0.252627651               0.005783356               0.005783356               
-8.457     0.532309750               0.532082465               0.012599160               0.012599160               
-8.447     0.623387062               0.623254718               0.015772468               0.015772468               
-8.437     0.593663157               0.593632543               0.016179353               0.016179353               
-8.427     0.550618570               0.550881229               0.015761650               0.015761650               
-8.417     0.483104569               0.483847412               0.014243693               0.014243693               
-8.407     0.332705928               0.333602472               0.009977616               0.009977616               
-8.397     0.134971821               0.135445996               0.004084176               0.004084176               
-8.387     0.025515127               0.025615440               0.000775258               0.000775258               
-8.377     0.001963772               0.001971843               0.000059769               0.000059769               
-8.367     0.000057106               0.000057346               0.000001740               0.000001740               
-8.357     0.000000000               0.000000000               0.000000000               0.000000000               
-8.347     0.000000000               0.000000000               0.000000000               0.000000000               
-8.337     0.000028747               0.000028894               0.000000683               0.000000683               
-8.327     0.000987242               0.000992157               0.000023419               0.000023419               
-8.317     0.012811972               0.012872732               0.000303473               0.000303473               
-8.307     0.067800602               0.068084324               0.001600610               0.001600610               
-8.297     0.170101023               0.170629550               0.003992857               0.003992857               
-8.287     0.265478353               0.265947797               0.006207100               0.006207086               
-8.277     0.341136449               0.341433890               0.008013752               0.008013309               
-8.267     0.411071500               0.411170596               0.009758748               0.009753349               
-8.257     0.485942174               0.485594981               0.011651374               0.011627177               
-8.247     0.531421933               0.530648725               0.012903144               0.012863250               
-8.237     0.506544718               0.505889845               0.012580081               0.012555884               
-8.227     0.491643814               0.491195662               0.012551771               0.012546372               
-8.217     0.511736976               0.511311970               0.013316575               0.013316119               
-8.207     0.502726836               0.502280952               0.013119257               0.013118801               
-8.197     0.463899852               0.463375723               0.011931177               0.011925778               
-8.187     0.427617488               0.427106456               0.010757623               0.010733426               
-8.177     0.401316080               0.400940491               0.009872668               0.009832801               
-8.167     0.320768666               0.320561483               0.007767235               0.007743897               
-8.157     0.199658070               0.199813142               0.005112768               0.005117281               
-8.147     0.333071415               0.334102956               0.010242219               0.010279372               
-8.137     0.764124589               0.765590860               0.025543912               0.025575293               
-8.127     0.996990581               0.997409511               0.034748287               0.034716880               
-8.117     0.824981095               0.824762205               0.027791904               0.027753864               
-8.107     0.636851034               0.636743385               0.019474252               0.019458941               
-8.097     0.511060526               0.510676708               0.014828146               0.014803089               
-8.087     0.297775318               0.297000141               0.008551760               0.008511839               
-8.077     0.099137030               0.098640964               0.002848158               0.002823961               
-8.067     0.016424698               0.016312177               0.000473385               0.000467986               
-8.057     0.002006982               0.001995460               0.000080285               0.000079841               
-8.047     0.010464077               0.010435914               0.000585835               0.000585822               
